S. No.,Name & Address of cold storage,Capacity in Metric Tons,Sector,Products stored,Latitude,Longitude
1,"HAPA COLD STORAGE,Plot No. 10, GIDC,Naroda.ÿ",1719+ 1719 +3438,Private,Multipurpose,23.0886164,72.6683692
2,"SHREE SHIV SHAKTI ICE PLANT AND COLD STORAGE,Vatva.ÿ",787,Private,Multipurpose,23.104416,72.826078
3,"JAIRAM & CO. PVT. LTD.,Near Ekta Hotel, Bavla Road,Sarkhej, Ahmedabad.",5000,Private,Multipurpose,23.104416,72.826078
4,"ABAD DAIRY (A GDDC Ltd. Undertaking)Kankaria Road,ÿÿAhmedabad - 380022.",811,Public,Dairy Products,23.00610095,72.59094445
5,"ALKA COLD STORAGE & ICE FACTORY,11 - A, Indl. Estate,Naroda, Ahmedabad - 382330.",2000,Private,Potatoes,23.07765495,72.6635123
6,"CREATA FOODS (P) LTD.,296, GIDC Estate Odhav,Ahmedabad - 382415,",89,Private,Dairy Products,23.025712684275,72.652406372434
7,"CREATA STORAGE & ICE FACTORY,13 - GIDC,ÿ Odhav Indl. Estate,Ahmedabad - 382415.",3000,Private,Potatoes,23.03278755,72.66533025
8,"GAMDIWALA DAIRY,Opp. Old Pilot Dairy,Kankaria,ÿ Ahmedabad - 380022.",87,Private,Dairy Products,23.0059794,72.5937168
9,"GUJARAT COLD STORAGE,296 - GIDC, Indl. Estate,Odhav Road, Ahmedabad - 382415.",2084,Private,Multipurpose,23.0088742,72.6601223
10,"GURU COLD STORAGE (P) LTD., Sabarmati, Ahmedabad - 380005.",3530,Private,Multipurpose,23.0891072,72.5870616
11,"HIMALAYA ICE & COLD STORAGE,380 - 381, Naroda Road,Ahmedabad.",556,Private,Multipurpose,23.033170828532,72.601623966327
12,"KALOL TALUKA POTATOES FRUITS & VEG. GROWERS COOP. SOCIETY LTD.,Sahakari Shit Grih, Opp. AMISW",791,Cooperative,Potatoes,23.244301,72.503601
13,"KRISHNA COLD STORAGE,Near ONGC, Koba Road,Sabarmati - 380005.",3069,Private,Multipurpose,23.244301,72.503601
14,"KRISHNA COLD STORAGE,Gulmarg, Shahibag Road,Ahmedabad - 380004.",1294,Private,Multipurpose,23.0615868,72.5946796
15,"MATABHAI COLD STORAGE,Mandal Road, P.O. Bajwa,Dist. Ahmedabad.",803,Private,Multipurpose,23.0615868,72.5946796
16,"NAIGARA ICE & COLD STORAGE,Danilimda New Dor Bazar,Near Masjid, Ahmedabad - 380022",108,Private,Dairy Products,23.03010855508,72.595419288012
18,"PADMAVATI ICE & COLD STORAGE (P) LTD.P.O. Kubernagar,Naroda Road, Ahmedabad - 382340.",1896,Private,Multipurpose,23.0779721,72.65331405
19,"PURE BEVERAGE LTD.71-74, GIDC Ind. Estate,Township, Naroda - 382330.",16,Private,Others,23.07765495,72.6635123
20,"RAVI COLD STORAGE,196, Naroda, Ind. Estate,Township, Ahmedabad - 382330.",1144,Private,Potatoes,23.07765495,72.6635123
21,"S.C. CHONA & CO.,Opp. Krishna Cinema,Relief Road,Ahmedabad.",13,Private,Dairy Products,23.07765495,72.6635123
22,"VADILAL ICE CREAM PVT. LTD.,Dudheswar Road,Ahmedabad.",404,Private,Dairy Products,23.027481,72.587773
23,"VADILAL ICE FACTORY.Near Ram Krishna Mills,Gomtipur,Ahmedabad.",1566,Private,Multipurpose,23.074912,72.623725
24,"M/S. HIRA COLDÿ STORAGE PVT. LTD.,G.I.D.C. Naroda,Ahmedabad -382330.",7273,Private,Multipurpose,23.018181,72.518455
25,"JAMNAGER COLD STORAGEPVT. LTD.,Aslali (Bareja) Ahmedabad.",3188,Private,Multipurpose,23.018181,72.518455
26,"ZARIF DAIRY PVT. LTDSarkhed road,Ahmedabad - 380005.",29,Private,Dairy Products,23.07765495,72.6635123
27,"SAMRUDHI DAIRY PRODUCTSSarkhej, Ahmedabad.",150,Private,Dairy Products,23.09101615,72.59604315
28,"NARAIN COLD STORAGE AND ICE FACTORY 613 / 614, GIDC, Naroda,Ahmedabad.",2805,Private,Potatoes,23.0145096,72.5917595
29,"GUJARAT AQUA INDUSTRIES LTD.Sanand Ta, Ambedabad.",85,Private,Marine Products,23.0886164,72.6683692
30,"DAYAL COLD STORAGE PVT. LTD.Changodar, Ahmedabad.",4598,Private,Potatoes,22.9824545,72.3785839
31,"LAXMI COLD STORAGENaroda, Ahmedabad.",2000,Private,Potatoes,23.056497696348,72.635023981628
32,"H.C. COLD STORAGE,Ahmedabad.",4800,Private,Potatoes,23.0145096,72.5917595
33,"NASEEM COLD STORAGE PVT. LTD.,Shahpur, Ahmedabad.",6400,Private,Multipurpose,23.0145096,72.5917595
34,"ARMEC ICE AND COLD STORAGEPVT. LTD., Changodar, Ahmedabad.",3200,Private,Multipurpose,22.9361184,72.4409856
35,"SHREEJI COLD STORAGE,Paiki, Savarkundala - Dhari Bypass,Amreli.",3000,Privateÿ,Multipurposeÿ,22.9361184,72.4409856
36,"BANASKANTHA DIST. COOP. MILK PRODUCER UNION LTD.P.B. No. 20, Palanpur,Banaskantha.",565,Co-operative,Dairy Products,21.329038,71.0273181
37,"GUJARAT AGRO FOODS LTD.,Highway No. 53, Dessa,Banaskantha.",3847,Public,Potatoes,24.0855629,72.1442271
39,"JAI JAGDISH COLD STORAGE,Shah Market, Dessa,Banaskantha.",3360,Private,Potatoes,24.243299,72.180099
40,"KISAN COLD STORAGE,Beh. GEB Sub station,Highway Crossing, Palanpur,Banaskantha - 385002.",2400,Private,"Multipurpose,",24.168711,72.435835
41,"SONESHWAR COLD STORAGE,13, Shopping Centre,Dessa, Banaskantha - 385535.",5760,Private,Potatoes,24.168711,72.435835
42,SHREE BHAIRAV COLD STORAGE Unit 1Deesa - 385535.,4000,Private,Potatoes,24.243299,72.180099
43,RAJESHREE COLD STORAGEDessa - 385535.,9600,Private,Potatoes,24.243299,72.180099
44,"SHAKTI COLD STORAGE,Palanpur - 385002.",3496,Private,Potatoes,24.168711,72.435835
45,BHAVANI COLD STORAGE PVT. LTD.Dessa - 385535.,7200,Private,Potatoes,24.243299,72.180099
46,"SHREE SOMNATH COLD STORAGE R.S. No. 134/2, Paiki Vill. Rajpur,Ta, Deesa - 385535.",8000,Private,Potatoes,24.243299,72.180099
47,"KRISHNA COLD STORAGEKant Road, Ajapura,Deesa.",6618,Private,Potatoes,24.243299,72.180099
48,"NUTAN COLD STORAGEAt Bhoyan, Dessa - Palanpur Highway.",4559,Private,Potatoes,24.243299,72.180099
49,"SHREE LAXMI COLD STORAGEDessa - Palanpur Highway,At Bhoyan.",4412,Private,Potatoes,24.243299,72.180099
50,SATYAM COLD STORAGE Dessa.,4800,Private,Potatoes,24.235091,72.203611
60,"BHAGWATI COLD STORAGE,Deesa.",5200,Private,Potatoes,24.243299,72.180099
61,"SHIV COLD STORAGE, Deesa.",5081,Private,Potatoes,24.243299,72.180099
62,"SHREE BHAIRAV COLD STORAGE,Unit No. 2, Deesa.",9600,Private,Potatoes,24.243299,72.180099
65,"MAALAXMI COLD STORAGE,At & Post- BHOYANÿÿ Ta- DeesaDeesa.",8600,Private,Potatoes,22.473941,70.088818
66,"JAI MATAJI COLD STORAGE,Deesa.",3600,Private,Potatoes,24.243299,72.180099
67,"GOKUL COLD STORAGE,GIDC, Chandisar Palanpur.",4000,Private,Potatoesÿ,24.243299,72.180099
68,"SHIV SHAKTI COLD STORAGE,RTO Highway, Palanpur.",4000,Private,Potatoes,24.222289,72.307979
69,"JAY PRESERVATION PVT. LTD.,GIDC Estate, Chandisar,Banashkantha.ÿ",2292,Private,Multipurposeÿ,24.222289,72.307979
70,"MARUTI COLD STORAGE,Jorapura, Deesa - Tharad Highway,",3500,Privateÿ,Potatoesÿ,24.290715,72.124951
71,"RAVIRAJ COLD STORAGE,Mauje Akhol, Bhadath Road,Near RTO Checkpost, Akhol.",4208,Private,Potatoesÿ,24.285251844221,72.11419000786
72,"KESAR COLD STORAGE,Shivshakti Veg. Market,Deesa.",783,Private,Vegetable & Fruit,24.243299,72.180099
73,"BHARUCH DIST. COOP. MILK PRODUCT UNION LTD.Dudh Dhara Dairy, P.B. No. 29,Bharuch - 392002.",214,Co-operative,Dairy Products,21.69482,72.9805
74,"BHARAT COLD STORAGE & ICE FACTORYOpp. Power House, Bhavnagar - 364001.",795,Private,Multipurpose,21.7727986,72.1535564
75,"BHAVNAGAR COLD STORAGE & INDUSTRIESOpp. Nagar Palika,Mangalsingh Ji Mahal,ÿÿBhavnagar - 364001",960,Private,Multipurpose,21.7727986,72.1535564
76,"BHAVNAGAR DAIRY,Gowri Shankar Lake Road,Bhavnagar - 364001.",120,Public,Dairy Products,21.7727986,72.1535564
77,"THAKKAR COLD STORAGE & ICE MANUFACTURERS, Panwadi Road,Bhavnagar - 364001.",2056,Private,Potatoes,21.7722806,72.1409197
78,MAHALAXMI PNEUMATIC ROLLER FLOOR MILLS PVT. LTD.(Cold Storage Division)Bhavnagar - 364001.,834,Private,MultipurposeClosed /,21.7722806,72.1409197
79,"MAHAVIR COLD STORAGE PVT. LTD.Motera, Vill. Dist. Gandhinagar.",1936,Private,Potatoes,23.2233468,72.6477057
80,"DHARMENDRA ICE CREAM LTD.108, GIDC,ÿ Sector No. 28,Gandhinagar.",434,Private,Multipurposeÿ,23.1690971,72.812632
81,"GANDHINAGAR DIST. CO-OP. MILK PRODU. UNION LTD.Gandhinagar Dairy, Sector - 25, Gandhinagar - 382",69,Cooperativeÿ,Dairy Products,21.1822787,72.8334906
82,"KALP COLD STORAGE PVT. LTD.,Sampa, Dehgam.",4320,Private,Potatoes,23.193055,72.880539
83,"SAHAKARI SHITAGAR,Pethapur, Gandhinagar.",3200,Cooperative,Potatoes,23.2588369,72.6522861
84,"SHEET SAGAR COLD STORAGE &ICE FACTORY,Vihar, Gandhinagar.",4800,Private,Potatoes,23.54216,72.654129
85,"VINOD COOLÿ STORES PVT. LTD.,Vill.Limbadia, Gandhinagar.",4000,Private,Multipurpose,23.12334,72.684492
86,"ANMOL COLD STORAGE,Ghanij Vill., Dehgam.",3767,Private,Potatoes,23.0633838,72.855784
87,"SHRI. KRISHNA COLD STORAGE,Sampa, Dehgam.",2180,Private,Potatoes,23.0633838,72.855784
88,"SOLANUN AGROJaliyamath, Dehgam.",2456,Private,Potatoes,23.193055,72.880539
89,"SHIV KRIPA COLD STORAGE,Adalaj.",3153,Private,Potatoes,23.167,72.586998
90,"THE POTATO FRUIT AND VEGETABLE GROWERS CO-OP. SOC. LTD., Pethapur - 382610.",2550,Cooperative,Multipurposeÿ,23.26222635,72.6634469
91,"KALINDI COLD STORAGE,Adalaj, Gandhinagar.",2123,Private,Multipurposeÿ,23.167,72.586998
92,"RAMJYOTI SHITALAYA PVT. LTD.Sampa, Dehgam, Ta - 382315.",4400,Private,Potatoes,23.2205857,72.8980136
93,"JAY AMBE HIMGHAR PVT. LTD.Sampa, Dehgam Ta - 382315.",8000,Private,Potatoes,23.2205857,72.8980136
94,"VINAYAK COLD STORAGESAhmedpura, Dehgam,Ta - 382305.",16000,Private,Potatoes,23.1735,72.815903
95,YOGESHWAR COLD STORAGE PVT. LTD.Ahmedpura Ta Dehgam.,4400,Private,Potatoes,23.1735,72.815903
96,"HARSHIL COLD STORAGE (P) LTD.Vill. Palaiya, Nandol,Ta, Dehgam",4129,Private,Potatoes,23.1684083,72.8201226
97,RADHESHYAM AGRO COLD STORAGE PVT. LTD.Khanpur Ta Dholka.,4000,Private,Potatoes,22.7086808,72.3866037
98,"PARMESHWAR COLD STORAGE,D.R. road, Dehgam.",12800,Private,Potatoes,23.1684083,72.8201226
99,"PRABHUKISHAN COLD STORAGE,D.R. road, Dehgam.",8000,Private,Potatoes,23.1684083,72.8201226
100,"ABHIMANYU COLD STORAGE,D.R. Road, Dehgam.",7200,Private,Potatoes,23.1684083,72.8201226
101,"AMARDEEP COLD STORAGE,D.R. Road, Dehgam.",7461,Private,Potatoes,23.1684083,72.8201226
102,"JALARAM COLD STORAGE,Rakhial, Dehgam.",4400,Private,Potatoes,23.1684083,72.8201226
103,"SHRIJI COLD STORAGE,D.R. Road, Dehgam.",2400,Private,Potatoes,23.1684083,72.8201226
104,"BHARAT COLD STORAGE,Gandhi Nagar Road,Jamnagar - 361002.",2000,Private,ÿÿÿÿÿÿÿPotatoes,22.486855314782,70.053959123823
105,"BHARAT ICE FACTORY,PB No. 2014, Gandhinagar Road,Jamnagar - 361002.",971,Private,ÿÿÿÿÿÿÿPotatoes,22.486855314782,70.053959123823
106,"GANESH COLD STORAGE & CO.,Near Mental Hospital,Gulab Nagar Road,Jamnagar - 361002.",2000,Private,Potatoes,22.473941,70.088818
107,"HAPA COLD STORAGE,Dhanvav Bypass, Plot No. 14,Hapa, Jamnagar - 361002.",748,Private,Multipurpose,22.479543,70.0515216
108,"VIJAY COLD STORAGE,Hapivadi Gram Panchayat,Taluk-Khambhalia,ÿ Jamnagar - 361002.",2805,Private,Multipurpose,22.479543,70.0515216
110,"JAMNAGAR COLD STORAGE,Jamnagar - 361002.",2453,Private,Multipurpose,22.466401,70.055401
111,"KHAMBALIA COLD STORAGE,GIDC Estate,ÿKhambalia.ÿ",847,Private,Potatoes,22.2176,69.657898
112,"KISHAN COLD STORAGE,Near Dhuvav,ÿ Jamnagar.",2000,Private,Multipurpose,22.2176,69.657898
114,"PRAKASH ICE & COLD STORAGEC-8, M.P. Shah Udyog,Bara Section Road, Jamnagar - 361002.",494,Private,Multipurpose,22.468479,70.0572919
115,"SHREE VINAYAK COLD STORAGE CO.,Behin Bhanu Kerosene Depot,PO Shankar Tekri, Udyognagar, Jamnaga",3600,Private,Multipurpose,22.479543,70.0515216
116,"GUJARAT DAIRY DEVELOPMENT CORP. LTD.Jamnagar Dairy,ÿ Jamnagar.",15,Public,Dairy Products,22.468479,70.0572919
117,"SAGAR COLD STORAGE Vill. Nagoda, P.O. Khodiyarnagar,Jamnagar.",836,Privateÿ,Multipurposeÿ,22.468479,70.0572919
118,"ALLANA FROZEN FOODS PVT. LTD,Plot No. 51 to 54, (Unit-2),Industrial Area, Veraval,Junagar - 362267.",191,ÿÿÿÿÿÿÿÿPrivate,Marine Products,22.468479,70.0572919
119,"ALLANA FROZEN FOODS,Plot No. 51 to 56 (Unit-1),GIDC Estate, Veraval,ÿÿJunagar.",1020,Privateÿ,Marine Productsÿ,23.2203146,72.5085841
120,"AMAR COLD STORAGE,Jawar Nakka,ÿ Porbander, Junagar.",1293,Privateÿ,Marine Productsÿ,21.664537,69.907717
121,"AMAR FOOD PRODUCTS,Jawar Naka, Porbandar.",486,Privateÿ,Marine Productsÿ,21.664537,69.907717
122,"B.M.G. FISHERIES,Plot No. 17-21, Harbour Area,Veraval, Junagar.",706,Privateÿ,Marine Products,21.664537,69.907717
125,"CHAM ICE & COLD STORAGE,Bokhira, Porbander, Junagar.",1626,Privateÿ,Marine Productsÿ,21.6565169,69.6004976
126,"CHAM TRADIN ORGANISATION,105/1, GIDC Estate, Veraval - Patna Road,Veraval - 362269.",500,Privateÿ,Marine Productsÿ,20.9830904,70.4172464
127,"CHAM TRADING ORGANISATION,105 / 2, GIDC Estate, Veraval - 362269.",635,Privateÿ,Marine Productsÿ,20.9830904,70.4172464
128,"GUJARAT DAIRY DEVELOPMENT CORPN. JUNAGARH DAIRY,Jaffar Maidan,ÿ Junagarh - 362001.",442,Publicÿ,Dairy Productsÿ,21.5306178,70.4585056
129,"GUJARAT EXPORTS,Post Box No. 48, Porbander,Junagar.",148,Privateÿ,Marine Productsÿ,21.6325219,70.0277777
130,"HIRAVATI ICE & COLD STORAGE,605, GIDC, Veraval,ÿ Junagarh.",387,Privateÿ,Marine Productsÿ,20.8908706,70.4125756
131,"HMG INDUSTRIES LTD.,GIDC Estate, Somnath Road,Veraval - 362269.",1067,Privateÿ,Marine Products,20.9830904,70.4172464
132,"JRK SEAFOODS PVT. LTD.,Cold Storage at GIDC-612,Veraval - 362269.",381,Privateÿ,Marine Productsÿ,20.9830904,70.4172464
133,"KONKAN FISHERIES PVT. LTD.,New Fisheries Harbour,Bhidia, Veravel - 362267.",270,Privateÿ,Marine Productsÿ,20.9830904,70.4172464
135,"MUKLAI ICE & COLD STORAGE,Veraval Patan Road, Veraval - 362269.",148,Privateÿ,Marine Productsÿ,20.9060394,70.384373
137,"PRONTO FOODS (P) LTD.,101, GIDC Road, Veraval.",1033,Privateÿ,Marine Productsÿ,20.9077,70.36786
138,"PURAVANKARA EXPORTS,227, SV Road, Bandra, Bombay(Cold Storage at Junagarh Gujarat).",72,Privateÿ,Marine Products,21.51966,70.45981
139,"R.K. ICE & COLD STORAGE,Bara Road, Mangrol, Junagarh.",864,Privateÿ,Marine Products,21.51966,70.45981
140,"RAVI PATNA EXPORTS PVT. LTD.,Bhidia Plot, GIDC Area, Veraval.",456,Privateÿ,Marine Products,21.101331,70.36786
142,"RAMESHWAR COLDÿ STORAGE,Somnath Road, Veraval.",313,Private,Marine Products,20.902412,70.384581
143,"VERAVAL MARINES &CHEMICAL PVT. LTD,38 / 43 Bhidia Plot, Veraval - 362267.ÿ",342,Private,Marine Products,20.9077,70.36786
144,"HINDUSTAN LEVER LTD,Plot 130/1, Chorwad - 362250.",948,Private,Marine Products,21.03383975,70.2362708
145,"KARTIK COLD STORAGE,Plot No. 1308, GIDC Veraval - 362269.",233,Private,Marine Products,20.9830904,70.4172464
146,"ASIAN MARINE PRODUCTS,Plot 130/1, GIDC Veraval - 362269.",638,Private,Marine Products,20.9830904,70.4172464
147,"AMRUT COLD STORAGE PVT. LTD,Plot 1111/2, GIDC Veraval - 362269.",329,Private,Marine Products,20.9830904,70.4172464
148,"MAMTA COLD STORAGE,Plotÿ 806, GIDC Estate, Veraval - 362269.",355,Private,Marine Products,20.9830904,70.4172464
151,"ELITE SHIP YARD (FROZEN FOOD DIVISION)2-4 GIDC Ind. Area, Veraval - 362269.",314,Private,Marine Products,20.9830904,70.4172464
152,"HIRAVATI EXPORTS PVT. LTD,407 / 410,ÿ GIDC, Veraval - 362269.",964,Private,Marine Products,20.9830904,70.4172464
153,"ANJANIÿ MARINE TRADERS,402 / 414, GIDC,ÿ Veraval - 362269.",276,Private,Marine Products,20.9830904,70.4172464
154,"SAGAR FOODS,GIDC Estate,ÿ Veraval - 362269.",439,Private,Marine Products,20.9830904,70.4172464
155,"TULSI SEA FOODS,Plot 1316 / 1-2,ÿ GIDC, Veraval - 362267.",280,Private,Marine Products,20.9077,70.36786
156,"RAM ICE & COLD STORAGE,Opp. Bhidbhanjan temple, Veraval - 362267.",116,Private,Marine Products,20.899418,70.383595
157,"DEEPMALA MARINE EXPORTS,Near Fisheries Terminal Gate,Bhidiya Plot, Veraval - 362267.",168,Private,Marine Products,20.899418,70.383595
158,"DEV SEA FOODS PVT. LTD,Plot 1006, GIDC Veravalÿ 362269.",318,Private,Marine Products,20.9830904,70.4172464
159,"TIRTH SEA FOODS,48-A, GIDC, Veraval .",244,Private,Marine Products,20.9077,70.36786
160,"KIRTI ICE & COLD STORAGE,Plot 10, Fisheries Harbour,Bhidia Veraval.ÿ",105,Private,Marine Products,20.9077,70.36786
161,ALLANA FROZEN FOODSÿÿDwarka.ÿ,770,Private,Marine Products,20.9077,70.36786
162,"BHAWANI COLD STORAGE,Plot 12, 13,ÿ Fisheries Harbour,Bhidia Veraval - 362267.",213,Private,Marine Products,20.9077,70.36786
163,"CASTTEROCK COLD STORAGE P. LTD,Plot 102, GIDC,ÿ Veraval - 362269.",401,Private,Marine Products,20.9077,70.36786
164,"M/S. BALIHARI COLD STORAGE,Plot No. 1315,ÿ GIDC Estate,ÿ Veraval .",333,Privateÿ,Marine Products,20.9077,70.36786
165,"M/S. RITU MARINE PRODUCTS, Plot No. 1008, GIDC Estate, Veraval.",210,Private,Marine Products,20.9077,70.36786
166,"M/S. AMISON FOODS LTD.,305, GIDC Estate, Veraval - 362269.",422,Private,Marine Products,20.9830904,70.4172464
168,"M/S. DIVYA MARINE FOODS PVT. LTD,305, GIDC Estate, Somnath Road,Veraval - 362269.",408,Private,Marine Products,20.9830904,70.4172464
169,"M/S. POONAM ICE & COLD STORAGE,Port Area, Near Fish Market,Porbander - 360575.",364,Private,Marine Products,20.9830904,70.4172464
170,"M/S. AMAR COLD STORAGE, Jawar Naka,ÿ Porbander - 360575.",1149,,Marine Products,21.6391511,69.6121572
171,"SATYAM MARINEÿ EXPORTS,Plot No. 14, Bhidia Plot,Veraval - 362269.",321,Private,Marine Products,20.9830904,70.4172464
172,"KAPISHWAR ICE & COLD STORAGE,KAPISHWAR ICE & COLD STORAGE,Veraval - 362269.",106,Private,Marine Products,20.9830904,70.4172464
173,"GOLDEN STAR COLD STORAGE CO.,Plot 1109 , 1110,ÿ GIDC Estate,Veraval - 362269.",529,Private,Marine Products,20.9830904,70.4172464
174,"JIMMY MARINE TRADERS,1306 / 1311, GIDC Estate,ÿ Veraval .",358,Private,Marine Products,20.9830904,70.4172464
175,"PANBROS IMPEX PVT LTD,Vill. Semarvav, Ta. Talala.",156,Private,Marine Products,21.008501,70.44588
176,"SILVER SEA FOOD,Jawarnaka, Porbander.",374,Private,Marine Products,21.008501,70.44588
177,"CHAM TRADING ORGANISATION,802 / 2, GIDC Estate, Veraval.",1328,Private,Marine Products,20.9077,70.36786
178,"MINAXI FORZEN FOODS PVT. LTD,Plot 904, GIDC Area, Veraval.",378,Private,Marine Products,20.9077,70.36786
179,"SH. KODINAR TA. FRUITS & VEGETABLE PRODUCT CO. SOC.,Kodinar",2550,Cooperative,Multipurpose,20.7971,70.695801
180,"ANUGRAHA COLD STORAGE,Shrinivas Vallabhji Street,Chakalasi - 387315.",3746,Privateÿ,Potatoesÿ,22.6474,72.944298
181,"BHAGAWATI COLD STORAGE,Sardar Chowk,ÿ Chaklashi.",2400,Privateÿ,Potatoesÿ,22.6474,72.944298
183,"ENKEY COLD STORAGE,NH-8, Gutkal Road, Nadiad.",2032,Privateÿ,Potatoesÿ,22.6980138,72.8567502
184,"GHANSHYAM TRADING CO.,GHANSHYAM TRADING CO.,",454,Privateÿ,Multipurposeÿ,21.209409,72.872947
185,"GUJARAT COLD STORAGE & ICE FACTORY,Outside Ahmedabadi Gate, Nadiad - 387001.",630,Privateÿ,Potatoesÿ,22.6980138,72.8567502
186,"GUJARAT COLD STORAGE & ICE FACTORY,Kanipura, Outside Ahmedabadi Gate,Nadiad - 387001.",668,Privateÿ,Multipurposeÿ,22.6980138,72.8567502
187,"JALARAM COLD STORAGE,Vadtal Bhalej Road, PO Chaklasi - 387315.",3372,Privateÿ,Potatoesÿ,22.6474,72.944298
189,KAIRA DIST COOP. MILK PROD. UNION LTD.Anand - 388001.,2192,Cooperativeÿ,Dairyÿ Products,22.5632024,72.960281
190,KAIRA DIST COOP MILK PROD.ÿ UNION LTD. Mogar.,216,Cooperativeÿ,Dairy Productsÿ,22.519092,73.019233
193,"MANIBHAI ZAVERBHAI PATEL & CO. COLD STORAGE,PO Boriavi, Anand - 387310.",5126,Privateÿ,Potatoesÿ,22.6340084,72.95518095
